ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
640	2	4.496	4.295	45.507	38.434	16.059	56.088	26.17	17.742
641	2	5.401	5.29	48.972	45.714	5.314	85.501	10.227	4.272
642	2	4.709	4.256	89.021	1.741	9.238	83.177	4.887	11.936
643	2	13.63	10.554	80.91	10.866	8.225	64.601	17.756	17.643
644	2	6.18	6.101	48.447	41.278	10.275	81.937	5.114	12.949
645	2	10.233	9.515	25.848	32.17	41.982	46.159	16.195	37.646
646	2	13.274	12.62	44.734	42.775	12.491	53.891	23.756	22.353
647	2	8.912	9.898	74.921	24.001	1.077	49.495	29.137	21.368
648	2	32.567	31.156	58.842	29.309	11.849	15.551	67.159	17.29
649	2	6.601	6.714	45.357	53.598	1.045	87.876	9.607	2.517
650	2	13.358	12.38	63.505	31.419	5.076	39.321	51.793	8.885
651	2	6.278	6.117	73.925	23.59	2.485	89.652	8.501	1.847
652	2	5.144	4.816	66.932	30.385	2.683	74.875	21.615	3.509
653	2	4.887	4.552	65.357	31.983	2.66	87.851	5.953	6.195
654	2	4.257	4.158	66.808	27.061	6.131	91.053	3.511	5.435
655	2	19.605	18.972	32.328	32.318	35.353	20.056	42.03	37.914
656	2	8.377	7.581	27.993	20.628	51.379	52.961	6.859	40.179
657	2	20.055	17.804	32.346	6.976	60.678	28.443	8.184	63.373
658	2	23.077	23.912	77.848	19.968	2.184	16.105	82.716	1.179
659	2	7.9	7.346	46.747	46.873	6.38	47.291	47.332	5.377
660	2	6.485	6.285	42.328	44.41	13.261	49.547	37.438	13.015
661	2	5.253	5.231	57.948	34.457	7.596	90.728	1.185	8.086
662	2	5.408	5.24	65.514	24.353	10.133	86.069	4.771	9.16
663	2	5.32	4.649	90.056	6.184	3.759	95.182	1.785	3.033
664	2	5.374	4.961	45.497	26.033	28.47	73.675	7.559	18.766
665	2	0.508	0.404	19.685	32.48	47.835	20.297	30.941	48.762
666	2	5.712	5.405	60.277	37.447	2.276	84.903	10.398	4.699
667	2	26.896	25.209	54.733	33.042	12.225	23.666	54.179	22.155
668	2	7.095	6.503	42.903	32.474	24.623	18.899	41.627	39.474
669	2	4.953	4.461	69.513	24.914	5.572	91.84	3.744	4.416
670	2	22.118	19.027	28.881	23.067	48.051	30.662	39.391	29.947
671	2	19.516	16.043	62.39	21.08	16.53	29.832	48.015	22.153
672	2	9.794	8.128	45.855	22.687	31.458	39.382	28.691	31.927
673	2	12.875	12.873	36.435	17.895	45.67	32.083	24.097	43.82
674	2	3.663	3.411	54.491	38.193	7.316	76.869	14.043	9.088
675	2	1.155	1.156	17.316	14.286	68.398	9.948	14.446	75.606
676	2	11.008	10.129	70.721	26.908	2.371	22.648	73.176	4.176
677	2	6.556	6.311	63.865	27.746	8.389	63.809	25.242	10.949
678	2	6.471	5.635	52.434	41.956	5.61	86.087	5.909	8.004
679	2	8.442	8.017	52.606	30.218	17.176	45.591	35.063	19.346
680	2	7.24	6.902	39.282	28.412	32.307	44.407	18.4	37.192
681	2	8.532	7.842	44.456	44.362	11.181	61.859	16.195	21.946
682	2	4.15	4.012	27.663	65.422	6.916	88.634	3.639	7.727
683	2	9.313	5.839	61.087	30.044	8.869	35.64	44.562	19.798
684	2	4.547	4.251	72.443	19.903	7.653	76.335	13.714	9.951
685	2	7.285	6.446	79.465	12.423	8.113	65.591	23.906	10.503
686	2	6.056	6.047	63.458	33.966	2.576	88.077	5.854	6.069
687	2	9.58	8.44	55.219	36.075	8.706	62.133	24.171	13.697
688	2	11.804	11.33	59.183	37.648	3.168	33.989	63.027	2.983
689	2	7.143	6.826	49.601	19.586	30.813	66.51	11.588	21.902
690	2	11.861	12.035	34.078	22.89	43.032	33.228	8.65	58.122
691	2	8.205	7.441	49.872	42.121	8.007	66.08	29.378	4.542
692	2	2.647	2.585	18.852	6.233	74.915	81.779	4.023	14.197
693	2	2.447	2.266	69.35	23.539	7.111	90.424	4.59	4.987
694	2	3.106	2.694	93.175	2.64	4.185	69.97	21.641	8.389
695	2	12.585	11.738	28.55	34.001	37.449	33.089	38.311	28.599
696	2	19.046	16.997	66.287	12.528	21.186	28.446	39.689	31.864
697	2	5.058	4.572	59.193	19.514	21.293	59.864	6.824	33.311
698	2	9.992	9.799	72.918	18.114	8.967	35.963	53.965	10.072
699	2	7.49	6.955	30.654	12.083	57.263	68.339	4.486	27.175
700	2	2.953	2.749	72.672	11.141	16.187	75.7	3.783	20.517
701	2	3.588	3.406	41.722	48.161	10.117	64.093	20.17	15.737
702	2	4.135	3.984	77.243	17.92	4.837	71.16	22.465	6.376
703	2	7.641	7.222	50.294	22.615	27.091	73.982	2.589	23.428
704	2	13.137	12.417	33.805	25.683	40.512	27.583	37.892	34.525
705	2	6.49	4.593	66.133	19.014	14.854	60.658	6.793	32.55
706	2	7.232	6.614	55.199	38.689	6.112	40.142	50.045	9.813
707	2	7.888	6.828	50.609	29.209	20.183	43.688	24.092	32.22
708	2	4.687	4.249	74.525	8.769	16.706	84.867	7.837	7.296
709	2	11.035	9.593	72.352	20.879	6.769	70.385	14.323	15.292
710	2	4.146	3.704	90.28	5.958	3.763	85.826	7.316	6.857
711	2	5.448	5.111	56.791	34.747	8.462	78.556	12.62	8.824
712	2	24.261	24.545	25.506	25.778	48.716	20.566	8.992	70.442
713	2	7.945	7.998	57.785	23.826	18.389	46.624	36.447	16.929
714	2	4.597	4.559	54.275	37.59	8.136	88.901	1.821	9.278
715	2	6.11	6.053	62.897	30.982	6.121	74.459	19.957	5.584
716	2	2.727	2.653	62.23	36.194	1.577	83.415	10.215	6.37
717	2	8.536	7.637	53.198	38.566	8.236	72.109	22.352	5.539
718	2	7.741	7.516	54.799	20.191	25.01	39.689	41.551	18.76
719	2	7.356	5.86	66.476	13.418	20.106	61.809	26.638	11.553
720	2	5.597	5.287	50.813	11.756	37.431	64.176	11.821	24.002
721	2	9.908	10.135	39.786	39.867	20.347	57.178	23.621	19.201
722	2	8.636	8.207	45.067	23.819	31.114	40.539	15.475	43.987
723	2	3.923	3.586	59.776	33.571	6.653	75.878	16.258	7.864
724	2	7.103	6.991	59.017	39.392	1.591	87.555	10.428	2.017
725	2	8.971	7.921	77.873	16.509	5.618	67.454	24.706	7.84
726	2	4.334	4.238	61.029	37.979	0.992	92.426	4.908	2.666
727	2	4.964	4.857	63.336	11.604	25.06	83.673	4.715	11.612
728	2	5.191	5.12	59.603	34.868	5.529	94.629	0.41	4.961
729	2	4.377	4.171	51.314	45.122	3.564	97.842	1.486	0.671
